img,mask,color_mask,watershed_mask,video_src,video_clip
/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/img/frame_100_endo.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/mask/frame_100_endo_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/color_mask/frame_100_endo_color_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/watershed_mask/frame_100_endo_watershed_mask.png,video43,video43_00067
/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/img/frame_101_endo.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/mask/frame_101_endo_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/color_mask/frame_101_endo_color_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/watershed_mask/frame_101_endo_watershed_mask.png,video43,video43_00067
/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/img/frame_102_endo.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/mask/frame_102_endo_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/color_mask/frame_102_endo_color_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/watershed_mask/frame_102_endo_watershed_mask.png,video43,video43_00067
/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/img/frame_103_endo.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/mask/frame_103_endo_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/color_mask/frame_103_endo_color_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/watershed_mask/frame_103_endo_watershed_mask.png,video43,video43_00067
/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/img/frame_104_endo.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/mask/frame_104_endo_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/color_mask/frame_104_endo_color_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/watershed_mask/frame_104_endo_watershed_mask.png,video43,video43_00067
/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/img/frame_105_endo.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/mask/frame_105_endo_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/color_mask/frame_105_endo_color_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/watershed_mask/frame_105_endo_watershed_mask.png,video43,video43_00067
/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/img/frame_106_endo.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/mask/frame_106_endo_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/color_mask/frame_106_endo_color_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/watershed_mask/frame_106_endo_watershed_mask.png,video43,video43_00067
/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/img/frame_107_endo.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/mask/frame_107_endo_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/color_mask/frame_107_endo_color_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/watershed_mask/frame_107_endo_watershed_mask.png,video43,video43_00067
/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/img/frame_108_endo.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/mask/frame_108_endo_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/color_mask/frame_108_endo_color_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/watershed_mask/frame_108_endo_watershed_mask.png,video43,video43_00067
/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/img/frame_109_endo.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/mask/frame_109_endo_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/color_mask/frame_109_endo_color_mask.png,/users/nsapkota/VOS/data/datasets/cholecseg8k/video43/video43_00067/watershed_mask/frame_109_endo_watershed_mask.png,video43,video43_00067
